                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                       10  0.1675594419559309E+002  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9203529331346033E-003  0.2128551264857322E-002  0.0000000000000000E+000  0.1064272608508130E-002  0.0000000000000000E+000
  0.1039966386193774E-002  0.2405162084272944E-002  0.0000000000000000E+000  0.1202597940685564E-002  0.0000000000000000E+000
  0.1159579839252944E-002  0.2681775108908985E-002  0.0000000000000000E+000  0.1340923259921687E-002  0.0000000000000000E+000
  0.1310287751119751E-002  0.3030294630169660E-002  0.0000000000000000E+000  0.1515207607986285E-002  0.0000000000000000E+000
  0.1460995662986557E-002  0.3378809657811475E-002  0.0000000000000000E+000  0.1689493142486504E-002  0.0000000000000000E+000
  0.1650884358646135E-002  0.3817922131372735E-002  0.0000000000000000E+000  0.1909091825828422E-002  0.0000000000000000E+000
  0.1840773054305712E-002  0.4257022035178010E-002  0.0000000000000000E+000  0.2128694193258846E-002  0.0000000000000000E+000
  0.2080034956818093E-002  0.4810272596920851E-002  0.0000000000000000E+000  0.2405401764191500E-002  0.0000000000000000E+000
  0.2319296859330475E-002  0.5363496652277007E-002  0.0000000000000000E+000  0.2682117263322400E-002  0.0000000000000000E+000
  0.2620782178678318E-002  0.6060552864807550E-002  0.0000000000000000E+000  0.3030808987303796E-002  0.0000000000000000E+000
  0.2922267498026161E-002  0.6757555538878830E-002  0.0000000000000000E+000  0.3379516780370850E-002  0.0000000000000000E+000
  0.3302183600846774E-002  0.7635798617571820E-002  0.0000000000000000E+000  0.3818965429164622E-002  0.0000000000000000E+000
  0.3682099703667387E-002  0.8513934601619096E-002  0.0000000000000000E+000  0.4258446772385420E-002  0.0000000000000000E+000
  0.4160900837802833E-002  0.9620465218205388E-002  0.0000000000000000E+000  0.4812363669569287E-002  0.0000000000000000E+000
  0.4639701971938278E-002  0.1072677871529871E-001  0.0000000000000000E+000  0.5366345831895081E-002  0.0000000000000000E+000
  0.5099164758699403E-002  0.1178818458385125E-001  0.0000000000000000E+000  0.5898022400344666E-002  0.0000000000000000E+000
  0.5558627545460530E-002  0.1284934934115784E-001  0.0000000000000000E+000  0.6429769400393251E-002  0.0000000000000000E+000
  0.6245989158360841E-002  0.1443638879680898E-001  0.0000000000000000E+000  0.7225425011224346E-002  0.0000000000000000E+000
  0.6768639774805322E-002  0.1564267903472042E-001  0.0000000000000000E+000  0.7830544819506319E-002  0.0000000000000000E+000
  0.7291290391249803E-002  0.1684855426234855E-001  0.0000000000000000E+000  0.8435787811996413E-002  0.0000000000000000E+000
  0.8033712313215114E-002  0.1856073729188121E-001  0.0000000000000000E+000  0.9295750147896315E-002  0.0000000000000000E+000
  0.8776134235180425E-002  0.2027191610321706E-001  0.0000000000000000E+000  0.1015600065204550E-001  0.0000000000000000E+000
  0.9779784977971731E-002  0.2258347708195073E-001  0.0000000000000000E+000  0.1131942150247664E-001  0.0000000000000000E+000
  0.1078343572076304E-001  0.2489278464913768E-001  0.0000000000000000E+000  0.1248347280577161E-001  0.0000000000000000E+000
  0.1166068504828845E-001  0.2690920838504281E-001  0.0000000000000000E+000  0.1350148637454318E-001  0.0000000000000000E+000
  0.1253793437581385E-001  0.2892358425177174E-001  0.0000000000000000E+000  0.1452005763349893E-001  0.0000000000000000E+000
  0.1341518370333926E-001  0.3093575191556364E-001  0.0000000000000000E+000  0.1553922365174568E-001  0.0000000000000000E+000
  0.1454644800751802E-001  0.3352709061518923E-001  0.0000000000000000E+000  0.1685435742873528E-001  0.0000000000000000E+000
  0.1567771231169677E-001  0.3611409359265653E-001  0.0000000000000000E+000  0.1817058767571586E-001  0.0000000000000000E+000
  0.1680897661587552E-001  0.3869642355077860E-001  0.0000000000000000E+000  0.1948804786934844E-001  0.0000000000000000E+000
  0.1774028948610247E-001  0.4081854186042534E-001  0.0000000000000000E+000  0.2057355365198167E-001  0.0000000000000000E+000
  0.1867160235632941E-001  0.4293704506771399E-001  0.0000000000000000E+000  0.2165983752600748E-001  0.0000000000000000E+000
  0.1960291522655636E-001  0.4505171408224473E-001  0.0000000000000000E+000  0.2274698391330056E-001  0.0000000000000000E+000
  0.2053422809678330E-001  0.4716234703600751E-001  0.0000000000000000E+000  0.2383508848155696E-001  0.0000000000000000E+000
  0.2154914563826640E-001  0.4945765662355148E-001  0.0000000000000000E+000  0.2502207863917381E-001  0.0000000000000000E+000
  0.2256406317974949E-001  0.5174770268387609E-001  0.0000000000000000E+000  0.2621020258059414E-001  0.0000000000000000E+000
  0.2357898072123258E-001  0.5403216553521149E-001  0.0000000000000000E+000  0.2739920982666474E-001  0.0000000000000000E+000
  0.2466754477920376E-001  0.5647578635907398E-001  0.0000000000000000E+000  0.2867539330105347E-001  0.0000000000000000E+000
  0.2575610883717493E-001  0.5891213503056179E-001  0.0000000000000000E+000  0.2995270242185561E-001  0.0000000000000000E+000
  0.2684467289514611E-001  0.6134082762467657E-001  0.0000000000000000E+000  0.3123122695488020E-001  0.0000000000000000E+000
  0.2793323695311728E-001  0.6376149043833419E-001  0.0000000000000000E+000  0.3251101427524016E-001  0.0000000000000000E+000
