                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                        2  0.5141076895978646E+001  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9203529331346033E-003  0.1738620113009080E-002  0.0000000000000000E+000  0.8692780205778132E-003  0.0000000000000000E+000
  0.1039966386193774E-002  0.1964558022618776E-002  0.0000000000000000E+000  0.9822326259888686E-003  0.0000000000000000E+000
  0.1159579839252944E-002  0.2190488298956258E-002  0.0000000000000000E+000  0.1095180497285903E-002  0.0000000000000000E+000
  0.1310287751119751E-002  0.2475138916561434E-002  0.0000000000000000E+000  0.1237478129951813E-002  0.0000000000000000E+000
  0.1460995662986557E-002  0.2759774327898513E-002  0.0000000000000000E+000  0.1379760809762039E-002  0.0000000000000000E+000
  0.1650884358646135E-002  0.3118384395371196E-002  0.0000000000000000E+000  0.1559010130209154E-002  0.0000000000000000E+000
  0.1840773054305712E-002  0.3476963913853551E-002  0.0000000000000000E+000  0.1738229662628930E-002  0.0000000000000000E+000
  0.2080034956818093E-002  0.3928729235373495E-002  0.0000000000000000E+000  0.1964000696907953E-002  0.0000000000000000E+000
  0.2319296859330475E-002  0.4380433382427394E-002  0.0000000000000000E+000  0.2189712224617525E-002  0.0000000000000000E+000
  0.2620782178678318E-002  0.4949511571452440E-002  0.0000000000000000E+000  0.2474027968821083E-002  0.0000000000000000E+000
  0.2922267498026161E-002  0.5518467373734480E-002  0.0000000000000000E+000  0.2758224783590343E-002  0.0000000000000000E+000
  0.3302183600846774E-002  0.6235239960449537E-002  0.0000000000000000E+000  0.3116164662635124E-002  0.0000000000000000E+000
  0.3682099703667387E-002  0.6951768094286662E-002  0.0000000000000000E+000  0.3473867428043194E-002  0.0000000000000000E+000
  0.4160900837802833E-002  0.7854403064469877E-002  0.0000000000000000E+000  0.3924290661564756E-002  0.0000000000000000E+000
  0.4639701971938278E-002  0.8756547411759744E-002  0.0000000000000000E+000  0.4374240188861777E-002  0.0000000000000000E+000
  0.5099164758699403E-002  0.9621743860081274E-002  0.0000000000000000E+000  0.4805521949961934E-002  0.0000000000000000E+000
  0.5558627545460530E-002  0.1048638938641457E-001  0.0000000000000000E+000  0.5236268002039278E-002  0.0000000000000000E+000
  0.6245989158360841E-002  0.1177877797920030E-001  0.0000000000000000E+000  0.5879581488900358E-002  0.0000000000000000E+000
  0.6768639774805322E-002  0.1276047867264143E-001  0.0000000000000000E+000  0.6367767286780441E-002  0.0000000000000000E+000
  0.7291290391249803E-002  0.1374123885983359E-001  0.0000000000000000E+000  0.6855047862441385E-002  0.0000000000000000E+000
  0.8033712313215114E-002  0.1513265191632546E-001  0.0000000000000000E+000  0.7545538360198145E-002  0.0000000000000000E+000
  0.8776134235180425E-002  0.1652183044483642E-001  0.0000000000000000E+000  0.8233877703183332E-002  0.0000000000000000E+000
  0.9779784977971731E-002  0.1839591181028267E-001  0.0000000000000000E+000  0.9160671545512143E-002  0.0000000000000000E+000
  0.1078343572076304E-001  0.2026508159431833E-001  0.0000000000000000E+000  0.1008275613812997E-001  0.0000000000000000E+000
  0.1166068504828845E-001  0.2189446103502775E-001  0.0000000000000000E+000  0.1088452183439413E-001  0.0000000000000000E+000
  0.1253793437581385E-001  0.2351943574728068E-001  0.0000000000000000E+000  0.1168208265981787E-001  0.0000000000000000E+000
  0.1341518370333926E-001  0.2513971057857792E-001  0.0000000000000000E+000  0.1247516870661212E-001  0.0000000000000000E+000
  0.1454644800751802E-001  0.2722174252011230E-001  0.0000000000000000E+000  0.1349082348554055E-001  0.0000000000000000E+000
  0.1567771231169677E-001  0.2929484524146974E-001  0.0000000000000000E+000  0.1449800139837466E-001  0.0000000000000000E+000
  0.1680897661587552E-001  0.3135843567499002E-001  0.0000000000000000E+000  0.1549625113927550E-001  0.0000000000000000E+000
  0.1774028948610247E-001  0.3304975985744349E-001  0.0000000000000000E+000  0.1631098228535419E-001  0.0000000000000000E+000
  0.1867160235632941E-001  0.3473394098100962E-001  0.0000000000000000E+000  0.1711893694337948E-001  0.0000000000000000E+000
  0.1960291522655636E-001  0.3641066724953022E-001  0.0000000000000000E+000  0.1791992747017024E-001  0.0000000000000000E+000
  0.2053422809678330E-001  0.3807967125903513E-001  0.0000000000000000E+000  0.1871388210539112E-001  0.0000000000000000E+000
  0.2154914563826640E-001  0.3988947029987516E-001  0.0000000000000000E+000  0.1957112032531071E-001  0.0000000000000000E+000
  0.2256406317974949E-001  0.4168963346880089E-001  0.0000000000000000E+000  0.2041979360980887E-001  0.0000000000000000E+000
  0.2357898072123258E-001  0.4347991279592119E-001  0.0000000000000000E+000  0.2125952434697541E-001  0.0000000000000000E+000
  0.2466754477920376E-001  0.4538880475219099E-001  0.0000000000000000E+000  0.2214995429758113E-001  0.0000000000000000E+000
  0.2575610883717493E-001  0.4728571168705605E-001  0.0000000000000000E+000  0.2302972988285532E-001  0.0000000000000000E+000
  0.2684467289514611E-001  0.4917037902580508E-001  0.0000000000000000E+000  0.2389870449928918E-001  0.0000000000000000E+000
  0.2793323695311728E-001  0.5104257146545571E-001  0.0000000000000000E+000  0.2475668997596407E-001  0.0000000000000000E+000
