                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                     -103  0.1030105142468777E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2300882332836508E-003 -0.1640716617084367E+002  0.0000000000000000E+000 -0.8156226322387113E+001  0.0000000000000000E+000
  0.2492622527239550E-003 -0.1774333969680411E+002  0.0000000000000000E+000 -0.8793404547916335E+001  0.0000000000000000E+000
  0.2684362721642593E-003 -0.1906510571047415E+002  0.0000000000000000E+000 -0.9422828449820011E+001  0.0000000000000000E+000
  0.2876102916045635E-003 -0.2037298463313980E+002  0.0000000000000000E+000 -0.1004342887727690E+002  0.0000000000000000E+000
  0.3067843110448678E-003 -0.2166697953079086E+002  0.0000000000000000E+000 -0.1065432192680737E+002  0.0000000000000000E+000
  0.3451323499254762E-003 -0.2421180884019765E+002  0.0000000000000000E+000 -0.1184403149199905E+002  0.0000000000000000E+000
  0.3834803888060847E-003 -0.2669596888799268E+002  0.0000000000000000E+000 -0.1298640258579869E+002  0.0000000000000000E+000
  0.4218284276866932E-003 -0.2911460644741814E+002  0.0000000000000000E+000 -0.1407656733833504E+002  0.0000000000000000E+000
  0.4601764665673016E-003 -0.3146256163186813E+002  0.0000000000000000E+000 -0.1511006233850628E+002  0.0000000000000000E+000
  0.5176985248882143E-003 -0.3484006639330099E+002  0.0000000000000000E+000 -0.1654530075031500E+002  0.0000000000000000E+000
  0.5752205832091270E-003 -0.3803041154552976E+002  0.0000000000000000E+000 -0.1783106291909171E+002  0.0000000000000000E+000
  0.6327426415300398E-003 -0.4101779796287421E+002  0.0000000000000000E+000 -0.1895628824193149E+002  0.0000000000000000E+000
  0.6902646998509525E-003 -0.4378782083233383E+002  0.0000000000000000E+000 -0.1991152542614924E+002  0.0000000000000000E+000
  0.7669607776121694E-003 -0.4712019670239806E+002  0.0000000000000000E+000 -0.2090781407076295E+002  0.0000000000000000E+000
  0.8436568553733864E-003 -0.5001767894772315E+002  0.0000000000000000E+000 -0.2157465075633598E+002  0.0000000000000000E+000
  0.9203529331346033E-003 -0.5245933047772553E+002  0.0000000000000000E+000 -0.2190428024601731E+002  0.0000000000000000E+000
  0.1039966386193774E-002 -0.5532159657347140E+002  0.0000000000000000E+000 -0.2174239314282963E+002  0.0000000000000000E+000
  0.1159579839252944E-002 -0.5701011913242483E+002  0.0000000000000000E+000 -0.2077636666090886E+002  0.0000000000000000E+000
  0.1310287751119751E-002 -0.5747322040284035E+002  0.0000000000000000E+000 -0.1849412958529915E+002  0.0000000000000000E+000
  0.1460995662986557E-002 -0.5615297334609360E+002  0.0000000000000000E+000 -0.1518850855784018E+002  0.0000000000000000E+000
  0.1650884358646135E-002 -0.5219823147952712E+002  0.0000000000000000E+000 -0.9923062515482814E+001  0.0000000000000000E+000
  0.1840773054305712E-002 -0.4609558915625649E+002  0.0000000000000000E+000 -0.3978047895242634E+001  0.0000000000000000E+000
  0.2080034956818093E-002 -0.3625790187805537E+002  0.0000000000000000E+000  0.3558988796140990E+001  0.0000000000000000E+000
  0.2319296859330475E-002 -0.2517157634248685E+002  0.0000000000000000E+000  0.9990657714188165E+001  0.0000000000000000E+000
  0.2520287072229037E-002 -0.1583498879552288E+002  0.0000000000000000E+000  0.1377556640946650E+002  0.0000000000000000E+000
  0.2721277285127599E-002 -0.7257193279663521E+001  0.0000000000000000E+000  0.1572215756705330E+002  0.0000000000000000E+000
  0.2922267498026161E-002  0.2984335706873216E-002  0.0000000000000000E+000  0.1570676441460845E+002  0.0000000000000000E+000
  0.3112225549436467E-002  0.5302719197294266E+001  0.0000000000000000E+000  0.1398350811754828E+002  0.0000000000000000E+000
  0.3302183600846774E-002  0.8907727471806929E+001  0.0000000000000000E+000  0.1089545469694614E+002  0.0000000000000000E+000
  0.3492141652257081E-002  0.1080787466381142E+002  0.0000000000000000E+000  0.6861625245840818E+001  0.0000000000000000E+000
  0.3682099703667387E-002  0.1113490263444926E+002  0.0000000000000000E+000  0.2384905019710033E+001  0.0000000000000000E+000
  0.3921500270735109E-002  0.9722218174161158E+001  0.0000000000000000E+000 -0.3063413731462497E+001  0.0000000000000000E+000
  0.4160900837802833E-002  0.6884982430397670E+001  0.0000000000000000E+000 -0.7456822945594053E+001  0.0000000000000000E+000
  0.4400301404870555E-002  0.3371524418207055E+001  0.0000000000000000E+000 -0.1009194761430612E+002  0.0000000000000000E+000
  0.4639701971938278E-002 -0.9866070081193548E-001  0.0000000000000000E+000 -0.1062573551192696E+002  0.0000000000000000E+000
  0.4869433365318841E-002 -0.2841269408781581E+001  0.0000000000000000E+000 -0.9206630342688028E+001  0.0000000000000000E+000
  0.5099164758699403E-002 -0.4649723531019187E+001  0.0000000000000000E+000 -0.6278774779075413E+001  0.0000000000000000E+000
  0.5328896152079966E-002 -0.5374823083482920E+001  0.0000000000000000E+000 -0.2452964111286766E+001  0.0000000000000000E+000
  0.5558627545460530E-002 -0.5060401817696149E+001  0.0000000000000000E+000  0.1542706293126766E+001  0.0000000000000000E+000
  0.5787748083093968E-002 -0.3914284988285047E+001  0.0000000000000000E+000  0.4986670181070404E+001  0.0000000000000000E+000
