                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -91  0.1170365807824369E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2300882332836508E-003 -0.1447616412131018E+002  0.0000000000000000E+000 -0.7205775162386401E+001  0.0000000000000000E+000
  0.2492622527239550E-003 -0.1566128734896641E+002  0.0000000000000000E+000 -0.7777187923641511E+001  0.0000000000000000E+000
  0.2684362721642593E-003 -0.1683655053797622E+002  0.0000000000000000E+000 -0.8343284338168125E+001  0.0000000000000000E+000
  0.2876102916045635E-003 -0.1800230441923460E+002  0.0000000000000000E+000 -0.8903323359350640E+001  0.0000000000000000E+000
  0.3067843110448678E-003 -0.1915854367957062E+002  0.0000000000000000E+000 -0.9456689485307344E+001  0.0000000000000000E+000
  0.3451323499254762E-003 -0.2144140270072467E+002  0.0000000000000000E+000 -0.1054133237866501E+002  0.0000000000000000E+000
  0.3834803888060847E-003 -0.2368255776124419E+002  0.0000000000000000E+000 -0.1159329276972576E+002  0.0000000000000000E+000
  0.4218284276866932E-003 -0.2587856467747350E+002  0.0000000000000000E+000 -0.1260909099427676E+002  0.0000000000000000E+000
  0.4601764665673016E-003 -0.2802573933502626E+002  0.0000000000000000E+000 -0.1358549047489875E+002  0.0000000000000000E+000
  0.5176985248882143E-003 -0.3114635475849343E+002  0.0000000000000000E+000 -0.1496975293751953E+002  0.0000000000000000E+000
  0.5752205832091270E-003 -0.3413665753109491E+002  0.0000000000000000E+000 -0.1624893391513273E+002  0.0000000000000000E+000
  0.6327426415300398E-003 -0.3698487485605874E+002  0.0000000000000000E+000 -0.1741436352545507E+002  0.0000000000000000E+000
  0.6902646998509525E-003 -0.3967999367472981E+002  0.0000000000000000E+000 -0.1845826175474063E+002  0.0000000000000000E+000
  0.7669607776121694E-003 -0.4301719464399426E+002  0.0000000000000000E+000 -0.1964960689736525E+002  0.0000000000000000E+000
  0.8436568553733864E-003 -0.4604284268067509E+002  0.0000000000000000E+000 -0.2059930794767433E+002  0.0000000000000000E+000
  0.9203529331346033E-003 -0.4873815486973422E+002  0.0000000000000000E+000 -0.2129722317159955E+002  0.0000000000000000E+000
  0.1039966386193774E-002 -0.5224476179196908E+002  0.0000000000000000E+000 -0.2186860302082022E+002  0.0000000000000000E+000
  0.1159579839252944E-002 -0.5486904412374300E+002  0.0000000000000000E+000 -0.2180232815789803E+002  0.0000000000000000E+000
  0.1310287751119751E-002 -0.5688349230228129E+002  0.0000000000000000E+000 -0.2082776556218110E+002  0.0000000000000000E+000
  0.1460995662986557E-002 -0.5745743444011040E+002  0.0000000000000000E+000 -0.1892296292134602E+002  0.0000000000000000E+000
  0.1650884358646135E-002 -0.5620795368968946E+002  0.0000000000000000E+000 -0.1537076594228681E+002  0.0000000000000000E+000
  0.1840773054305712E-002 -0.5293951392266710E+002  0.0000000000000000E+000 -0.1083312277256793E+002  0.0000000000000000E+000
  0.2080034956818093E-002 -0.4642411972243036E+002  0.0000000000000000E+000 -0.4288127474093224E+001  0.0000000000000000E+000
  0.2319296859330475E-002 -0.3792067403933440E+002  0.0000000000000000E+000  0.2367849667652574E+001  0.0000000000000000E+000
  0.2520287072229037E-002 -0.2986592946772951E+002  0.0000000000000000E+000  0.7408178113977201E+001  0.0000000000000000E+000
  0.2721277285127599E-002 -0.2157020881610174E+002  0.0000000000000000E+000  0.1150579192451522E+002  0.0000000000000000E+000
  0.2922267498026161E-002 -0.1353913621963225E+002  0.0000000000000000E+000  0.1433601108912277E+002  0.0000000000000000E+000
  0.3112225549436467E-002 -0.6593622442445839E+001  0.0000000000000000E+000  0.1566136043742877E+002  0.0000000000000000E+000
  0.3302183600846774E-002 -0.5914042363867226E+000  0.0000000000000000E+000  0.1563491486087017E+002  0.0000000000000000E+000
  0.3492141652257081E-002  0.4247978854287206E+001  0.0000000000000000E+000  0.1432807551407271E+002  0.0000000000000000E+000
  0.3682099703667387E-002  0.7797610462039745E+001  0.0000000000000000E+000  0.1191793807231014E+002  0.0000000000000000E+000
  0.3921500270735109E-002  0.1040099431943320E+002  0.0000000000000000E+000  0.7754115511346503E+001  0.0000000000000000E+000
  0.4160900837802833E-002  0.1105176432453887E+002  0.0000000000000000E+000  0.2901056306474776E+001  0.0000000000000000E+000
  0.4400301404870555E-002  0.1005454283044746E+002  0.0000000000000000E+000 -0.1935112570150468E+001  0.0000000000000000E+000
  0.4639701971938278E-002  0.7844808879449213E+001  0.0000000000000000E+000 -0.6090549792488052E+001  0.0000000000000000E+000
  0.4869433365318841E-002  0.5048448693420048E+001  0.0000000000000000E+000 -0.8941660300032709E+001  0.0000000000000000E+000
  0.5099164758699403E-002  0.2050238258913438E+001  0.0000000000000000E+000 -0.1037603417862239E+002  0.0000000000000000E+000
  0.5328896152079966E-002 -0.7443386187239078E+000  0.0000000000000000E+000 -0.1029875619775928E+002  0.0000000000000000E+000
  0.5558627545460530E-002 -0.3013273543723261E+001  0.0000000000000000E+000 -0.8819063364848541E+001  0.0000000000000000E+000
  0.5787748083093968E-002 -0.4540549529492794E+001  0.0000000000000000E+000 -0.6233882406688127E+001  0.0000000000000000E+000
