                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        9793      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1534                  1.0000000000000000E+005                  5.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  7.8994570241739046E-002                  7.8951005888916237E-002                  7.8129685049395396E-008                  9.9999999996556233E-001                  9.7349783994939010E-001                  7.8951005888916237E-002                  7.8129685049395396E-008                  9.9999999996556233E-001                  9.7349783994939010E-001                 -1.3120678392130605E-001                 -4.7158293850404839E+001                 -9.8999999999999986E+001                 -1.3120678392130619E-001                 -1.9623909808600587E-001                 -9.8797236546045031E-001                 -4.7158293850404839E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7515687382810068E+000                 -1.3717564959528261E-001                 -4.8466464907028342E-002                  4.5348222832271814E+000                 -8.2080259669773031E-011                  7.1371608259011374E+000                  1.8898328190221909E+000                  1.7156225499411288E+001                  1.8898328190221909E+000                  7.1371608259011374E+000                  6.2027422115885400E-001                  8.4974784245442803E-001                  1.2973414978624251E+000                  6.9947219218470968E-001                  2.8036857100508700E-001                  2.9090368118292998E-003                  9.3604173093544130E-003                  3.4416106108119912E-003                  9.3604466091399986E-003                  6.9990698897213988E-001                  2.8001429211532924E-001                                        0                                        0                                        3 
                                       5                                      815                  7.4415999999999988E+005                  5.3167249841904987E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  7.2872360072532685E-002                  7.1753622405374307E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.7218193273832976E-001                  7.1753622405374307E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.7218193273832976E-001                 -1.3857090214025844E-001                 -4.7183045819994824E+001                 -1.5653559774527022E+001                 -1.3857090214025830E-001                 -2.0207880933253494E-001                 -1.0048944798840478E+000                 -4.7183045819994824E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7496199108236397E+000                 -1.5393390744089192E-001                 -5.2947938915099281E-002                  4.5437852312433238E+000                 -2.8858520462973518E-011                  7.1367828952526384E+000                  1.8880930729005629E+000                  1.7154081563230033E+001                  1.8880930729005629E+000                  7.1367828952526384E+000                  6.2029246375202973E-001                  8.4972907701462141E-001                  1.2973923827608158E+000                  6.9943504058918293E-001                  2.8039776753240908E-001                  2.8544766925182601E-003                  9.3604138520799497E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9990121383904547E-001                  2.8001765248624993E-001                                        0                                        0                                        3 
                                      10                                      812                  2.5958682111999993E+006                  5.7126312144286233E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.5858137676451739E-002                  6.3318093820682597E-002                  7.8129682001052568E-008                  9.9999999996478117E-001                  9.7073694933451904E-001                  6.3318093820682597E-002                  7.8129682001052568E-008                  9.9999999996478117E-001                  9.7073694933451904E-001                 -1.5263011604361085E-001                 -4.7268509504821317E+001                 -9.8999999999999986E+001                 -1.5263011604361085E-001                 -2.1032422936354273E-001                 -1.0578106773412852E+000                 -4.7268509504821317E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7476770286852994E+000                 -1.6941337783782523E-001                 -5.6801909836884344E-002                  4.5514931730868939E+000                 -5.9566071797891932E-012                  7.1352144114571399E+000                  1.8859016040598195E+000                  1.7150275079990536E+001                  1.8859016040598195E+000                  7.1352144114571399E+000                  6.2034525253476536E-001                  8.4967578639666097E-001                  1.2975372993435739E+000                  6.9932857511251945E-001                  2.8047975294715932E-001                  2.7055053566260746E-003                  9.3604041217043160E-003                  3.4416106108119938E-003                  9.3604466091399760E-003                  6.9988500409865317E-001                  2.8002711860994017E-001                                        0                                        0                                        3 
                                      15                                      806                  7.2035107872931827E+006                  6.1085374446667471E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  5.3760219310941805E-002                  5.3467580769339218E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.6969583042060403E-001                  5.3467580769339218E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.6969583042060403E-001                 -1.6477630286832859E-001                 -4.7384829566827527E+001                 -1.5954589770191003E+001                 -1.6477630286832851E-001                 -2.1201645176423869E-001                 -1.1516553468544322E+000                 -4.7384829566827527E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7469526913414590E+000                 -1.7047209314588357E-001                 -5.5882592803233898E-002                  4.5496545390195928E+000                  2.9514600236284873E-012                  7.1329359790359623E+000                  1.8869886001765557E+000                  1.7149016438930595E+001                  1.8869886001765557E+000                  7.1329359790359623E+000                  6.2047787095670703E-001                  8.4954337870184093E-001                  1.2978956452506543E+000                  6.9906384485491579E-001                  2.8068787095362174E-001                  2.3642812220121350E-003                  9.3603797869025035E-003                  3.4416106108119894E-003                  9.3604466091399760E-003                  6.9984661662184167E-001                  2.8005076058231898E-001                                        0                                        0                                        3 
                                      20                                      802                  1.8668799962237366E+007                  6.5044436749048709E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  3.9559013162285855E-002                  3.8965373421343041E-002                  7.8129682001052568E-008                  9.9999999996478117E-001                  9.6992519158962964E-001                  3.8965373421343041E-002                  7.8129682001052568E-008                  9.9999999996478117E-001                  9.6992519158962964E-001                 -1.6333983556023118E-001                 -4.7423551660278768E+001                 -1.5477468515471340E+001                 -1.6333983556023096E-001                 -1.9708957610904612E-001                 -1.2896193029269880E+000                 -4.7423551660278768E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7477098195559888E+000                 -1.6166976283027540E-001                 -5.2995684074488625E-002                  4.5438807215621022E+000                  7.1669987202162129E-013                  7.1319451985140727E+000                  1.8930068396997557E+000                  1.7153872537772653E+001                  1.8930068396997557E+000                  7.1319451985140727E+000                  6.2081334137744604E-001                  8.4920656288918683E-001                  1.2987980004053450E+000                  6.9839125456861162E-001                  2.8124120300835637E-001                  1.6299362653376848E-003                  9.3603111666552708E-003                  3.4416106108119894E-003                  9.3604466091399760E-003                  6.9975598641651060E-001                  2.8011318361738702E-001                                        0                                        0                                        4 
                                      25                                      793                  4.7198108322034471E+007                  6.9003499051429946E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.9296401978351946E-002                  9.9999999996478117E-001                  9.7059382018970564E-001                  1.7667216305050859E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.7059382018970564E-001                  1.7667216305050859E-002                  7.8129682056563719E-008                 -1.5616908849203082E-001                 -4.7414253103906468E+001                 -9.8999999999999986E+001                 -1.5616908849203107E-001                 -1.7401791192094318E-001                 -1.5512376537234831E+000                 -4.7414253103906468E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7486923172994744E+000                 -1.5456913672590342E-001                 -5.1410366509274476E-002                  4.5407100864316741E+000                  2.2968332380263581E-013                  7.1315664406516790E+000                  1.9046541776096959E+000                  1.7164660018929158E+001                  1.9046541776096959E+000                  7.1315664406516790E+000                  6.2166798681381241E-001                  8.4834000050584735E-001                  1.3010706635073368E+000                  6.9666033595213683E-001                  2.8279407022125386E-001                  5.2174038871765759E-004                  9.3600754980131540E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9953915483602780E-001                  2.8028247821300412E-001                                        0                                        0                                        4 
                                      30                                      784                  1.1818815689988479E+008                  7.2962561353811193E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.6047267742782738E-003                  9.9999999996478117E-001                  9.7120214144370243E-001                  1.2827388451892574E-003                  7.8129682056563838E-008                  9.9999999996478117E-001                  9.7120214144370243E-001                  1.2827388451892574E-003                  7.8129682056563838E-008                 -1.4847793206352547E-001                 -4.7379435342425921E+001                 -9.8999999999999986E+001                 -1.4847793206352555E-001                 -1.5702386233991336E-001                 -1.8587688564489890E+000                 -4.7379435342425921E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7494329756393712E+000                 -1.4842717966373986E-001                 -4.9820704657985479E-002                  4.5375307627290962E+000                  1.0092500324612046E-013                  7.1312809409281490E+000                  1.9152929208106357E+000                  1.7173538394963305E+001                  1.9152929208106357E+000                  7.1312809409281490E+000                  6.2393806848896938E-001                  8.4601061112295239E-001                  1.3070448734020137E+000                  6.9200454896086916E-001                  2.8737683116130130E-001                  2.8960246712523268E-005                  9.3590463069587147E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9901328206791113E-001                  2.8073534168941638E-001                                        0                                        0                                        4 
                                      35                                      781                  2.9483411457712126E+008                  7.6921623656192430E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996478117E-001                  9.7150355244966358E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996478117E-001                  9.7150355244966358E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4166864343566613E-001                 -4.7224420705057476E+001                 -9.8999999999999986E+001                 -1.4166864343566626E-001                 -1.4616843565895710E-001                 -2.1285084474166966E+000                 -4.7224420705057476E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7500051573021937E+000                 -1.4172925525900099E-001                 -4.7616105781261124E-002                  4.5331215649756471E+000                  6.4861388362532581E-014                  7.1330298427583276E+000                  1.9246866376968097E+000                  1.7180451975152501E+001                  1.9246866376968097E+000                  7.1330298427583276E+000                  6.3015981899002149E-001                  8.3970370394481897E-001                  1.3234084477124253E+000                  6.7939226853096246E-001                  2.9999185890519225E-001                  1.4906007256179138E-005                  9.3551430418003494E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9772670692725380E-001                  2.8191397080320940E-001                                        0                                        0                                        4 
                                      40                                      782                  7.3438578398454213E+008                  8.0880685958573668E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996478117E-001                  9.7203868034555752E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996478117E-001                  9.7203868034555752E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2869643601498265E-001                 -4.6830635673730960E+001                 -1.5954589770191003E+001                 -1.2869643601498260E-001                 -1.3124080972655214E-001                 -2.3621714132610512E+000                 -4.6830635673730960E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7511314801433402E+000                 -1.2875023811040129E-001                 -4.3379242889255321E-002                  4.5246478391916352E+000                  5.5673471037055148E-014                  7.1378931381536841E+000                  1.9454292238976771E+000                  1.7195154638527452E+001                  1.9454292238976771E+000                  7.1378931381536841E+000                  6.4650868212814350E-001                  8.2381395238255917E-001                  1.3665099066606550E+000                  6.4761452053054325E-001                  3.3177642902032917E-001                  1.5271837199543357E-005                  9.3431768757180605E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9451883549302429E-001                  2.8497203383343428E-001                                        0                                        0                                        5 
