                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                       1                                     1534                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.0000000000000000E+005                  1.0000000000000000E+005                  5.6437626134738293E+003                  7.2916254217523102E-001                  8.9440359279078285E-001                 -1.7707433522182332E+000                  6.9947219218470968E-001                  7.0478172888194292E-005                  2.8036857100508705E-001                  2.9090368118292998E-003                  1.6295202827695465E-003                  9.3604173093544130E-003                  2.0994599496978266E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  6.9990698897214010E-001                  7.0413934917057215E-005                  2.8001429211532919E-001                  3.3917787630617620E-003                  1.0662980149063429E-003                  9.3604439664226446E-003                  2.0994599496976657E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999991839028E-001                  8.9423260649044034E-001                  9.9999999985557331E-001                  8.9413576465844236E-001                  8.4690339559986787E+003                  3.5993298944958910E+007                  1.3714363288832819E+010                  7.3925320501989655E-001                  7.3925320501989678E-001                  6.9455421237789960E-048                  2.1918137281840281E-002                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.0000000000000000E+000                 -4.8466464907028342E-002                  3.7521183947791714E+000                 -6.7143666807641447E+000                  4.8420818742030205E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                       2                  9.9999999999900002E-001                 -4.8467941398386220E-002                  3.7533637882204824E+000                 -6.7058871902110067E+000                  4.8518097524756039E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                       3                  9.9999999999775002E-001                 -4.8469751347482687E-002                  3.7547746807209221E+000                 -6.6967419410143432E+000                  4.8623691130485458E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                       4                  9.9999999999650002E-001                 -4.8471523603604370E-002                  3.7562131303839377E+000                 -6.6878744775125849E+000                  4.8726779838071508E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                       5                  9.9999999999524991E-001                 -4.8473260061610082E-002                  3.7576798915023861E+000                 -6.6792739101543157E+000                  4.8827479746821050E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                       6                  9.9999999999400013E-001                 -4.8474962490087183E-002                  3.7588022056112562E+000                 -6.6729958725468261E+000                  4.8901502543065485E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                       7                  9.9999999999337519E-001                 -4.8475801495293500E-002                  3.7595575067505540E+000                 -6.6688867506207954E+000                  4.8950159682433547E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                       8                  9.9999999999275024E-001                 -4.8476632604393680E-002                  3.7607013347697551E+000                 -6.6628346843086659E+000                  4.9022138820673078E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                       9                  9.9999999999150013E-001                 -4.8478271833559537E-002                  3.7622581722851574E+000                 -6.6549791052116252E+000                  4.9116293457607574E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
