                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                      55                                      788                  1.0000000000000000E+000                  2.0000000000000000E-002                  4.4000000000000000E+009                  8.3357843693585753E+007                  5.7458042269697162E+003                  9.6527611613961684E-001                  9.9284846289607276E-001                 -1.5393196384541334E+000                  3.6275367815224757E-001                  9.0249049466518873E-006                  6.1673311975959411E-001                  2.1011638284953496E-005                  5.4603158654034246E-003                  8.8330654463103335E-003                  2.0994599496981289E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  6.6404918226808662E-001                  7.4743343031290850E-004                  3.1505889706818713E-001                  2.5692335894382029E-003                  2.0322942960183592E-003                  9.3531751147452585E-003                  2.0994599496976882E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999990199684E-001                  9.9264373324595379E-001                  9.9999999982766874E-001                  9.9252626118223275E-001                  9.9050808127389264E+003                  2.4493170779654771E+007                  1.0359730063551689E+010                  9.6545058840272613E-001                  9.6545058840272591E-001                  6.7684732870387155E-044                  2.3148527262710362E-002                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.0000000000000000E+000                 -3.1170322197857443E-003                  3.7595644489959814E+000                 -6.7953763890919028E+000                  4.7685868384481962E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                       2                  9.9999999999949996E-001                 -3.1176825906606980E-003                  3.7599931201224202E+000                 -6.7924085465201252E+000                  4.7719838966821904E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                       3                  9.9999999999899991E-001                 -3.1183285351336640E-003                  3.7607483785977838E+000                 -6.7872830913145821E+000                  4.7778655854371284E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                       4                  9.9999999999774991E-001                 -3.1199244624274380E-003                  3.7618471627645662E+000                 -6.7801166876573351E+000                  4.7861323000221105E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                       5                  9.9999999999649980E-001                 -3.1214942881756485E-003                  3.7635241140158975E+000                 -6.7696837717703655E+000                  4.7982447880659649E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       6                  9.9999999999399991E-001                 -3.1245594646231332E-003                  3.7652647274737707E+000                 -6.7596435551500420E+000                  4.8100289325468930E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002 
                                       7                  9.9999999999274991E-001                 -3.1260570517938034E-003                  3.7670347703321312E+000                 -6.7499445592460416E+000                  4.8215019110994088E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                       8                  9.9999999999024980E-001                 -3.1289861218005898E-003                  3.7692555861788821E+000                 -6.7387002052371798E+000                  4.8349728514592787E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                       9                  9.9999999998821865E-001                 -3.1313052066520388E-003                  3.7714642232426985E+000                 -6.7282933916930130E+000                  4.8475946997087709E+000                  6.9999999999999996E-001                  2.8000000000000014E-001                  1.9999999999999907E-002 
                                      10                  9.9999999998587474E-001                 -3.1339177597746069E-003                  3.7743233781479733E+000                 -6.7158828560438995E+000                  4.8628733868567746E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002 
                                      11                  9.9999999998274991E-001                 -3.1373031000477385E-003                  3.7773247232193663E+000                 -6.7041344880767264E+000                  4.8776332322561142E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                      12                  9.9999999998040612E-001                 -3.1397743917343291E-003                  3.7799907282198477E+000                 -6.6945458009065053E+000                  4.8898974358074838E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                      13                  9.9999999997806233E-001                 -3.1421917590944907E-003                  3.7832170873918929E+000                 -6.6839003980375740E+000                  4.9037815314190869E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                      14                  9.9999999997493738E-001                 -3.1453369305925404E-003                  3.7861305197613238E+000                 -6.6752683625542515E+000                  4.9153391460697513E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                      15                  9.9999999997337496E-001                 -3.1468785931708710E-003                  3.7891141326712217E+000                 -6.6670071883000990E+000                  4.9265972991244666E+000                  6.9999999999999996E-001                  2.8000000000000008E-001                  2.0000000000000018E-002 
                                      16                  9.9999999997024991E-001                 -3.1499038691716261E-003                  3.7933196861686014E+000                 -6.6566622914719176E+000                  4.9411684918864944E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                      17                  9.9999999996712485E-001                 -3.1528579955781848E-003                  3.7972156287251511E+000                 -6.6482183526671044E+000                  4.9535295194159579E+000                  6.9999999033230620E-001                  2.8000000966769401E-001                  1.9999999999999796E-002 
                                      18                  9.9999999996478117E-001                 -3.1550309673772431E-003                  3.8018637394303663E+000                 -6.6391846119332873E+000                  4.9672388628044919E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      19                  9.9999999996087507E-001                 -3.1585781020621209E-003                  3.8075347185739110E+000                 -6.6299696440464935E+000                  4.9821621236088793E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      20                  9.9999999995775002E-001                 -3.1613562936125428E-003                  3.8129079794997978E+000                 -6.6225342291365683E+000                  4.9950103186306176E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      21                  9.9999999995462496E-001                 -3.1640873774670011E-003                  3.8186404256343258E+000                 -6.6158347206290697E+000                  5.0074896177275026E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      22                  9.9999999995150013E-001                 -3.1667767047478517E-003                  3.8232266353100894E+000                 -6.6113335971382954E+000                  5.0166194873162526E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      23                  9.9999999994993760E-001                 -3.1681075224456348E-003                  3.8263740315064751E+000                 -6.6085312623555987E+000                  5.0226012254764543E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      24                  9.9999999994837496E-001                 -3.1694297926549500E-003                  3.8312348488899830E+000                 -6.6046257188724162E+000                  5.0314222400203725E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      25                  9.9999999994525013E-001                 -3.1720506934326859E-003                  3.8381381389304221E+000                 -6.6001290049663881E+000                  5.0429119011590746E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      26                  9.9999999994212518E-001                 -3.1746446439579186E-003                  3.8436291196735697E+000                 -6.5972786209082210E+000                  5.0513341633600657E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      27                  9.9999999994056266E-001                 -3.1759331519965058E-003                  3.8473785682179167E+000                 -6.5955631553873957E+000                  5.0568596768197622E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      28                  9.9999999993900013E-001                 -3.1772165918615971E-003                  3.8531311371343109E+000                 -6.5932617889543090E+000                  5.0650184234586710E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      29                  9.9999999993587507E-001                 -3.1797699392708389E-003                  3.8591207258067346E+000                 -6.5913713749762026E+000                  5.0730269068316458E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      30                  9.9999999993431266E-001                 -3.1810410846905232E-003                  3.8651412479668066E+000                 -6.5896779955093203E+000                  5.0808904732373001E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      31                  9.9999999993118771E-001                 -3.1835735153200955E-003                  3.8751828518430242E+000                 -6.5872206637965967E+000                  5.0936883503336770E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      32                  9.9999999992650024E-001                 -3.1873508107195694E-003                  3.8847833536702820E+000                 -6.5847458265964338E+000                  5.1061202936093251E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      33                  9.9999999992337518E-001                 -3.1898547527814624E-003                  3.8920361327733608E+000                 -6.5826297246589860E+000                  5.1158160342442649E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      34                  9.9999999992025035E-001                 -3.1923465670429694E-003                  3.8988356214094573E+000                 -6.5803024939268964E+000                  5.1253002487602428E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      35                  9.9999999991712540E-001                 -3.1948251068106186E-003                  3.9083170998355792E+000                 -6.5765226030967368E+000                  5.1391494919408043E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      36                  9.9999999991087540E-001                 -3.1997393549964290E-003                  3.9166125016951270E+000                 -6.5720121886474026E+000                  5.1525713081255828E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      37                  9.9999999990775046E-001                 -3.2021711541035175E-003                  3.9217613006291203E+000                 -6.5688753359892438E+000                  5.1612943371043114E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      38                  9.9999999990462551E-001                 -3.2045854923337595E-003                  3.9265788995422160E+000                 -6.5655912938273833E+000                  5.1698457921095358E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      39                  9.9999999990150057E-001                 -3.2069816825196500E-003                  3.9333376114589473E+000                 -6.5605343870091275E+000                  5.1823655869304304E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      40                  9.9999999989525057E-001                 -3.2117187009411234E-003                  3.9403483663098546E+000                 -6.5542068544934695E+000                  5.1965305792625509E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
