                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                       10  0.1528490112864874E+002  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1000000200031036E-002  0.2480620037376093E-002  0.0000000000000000E+000  0.1240327029403730E-002  0.0000000000000000E+000
  0.1083333550033622E-002  0.2687327903499528E-002  0.0000000000000000E+000  0.1343685580115256E-002  0.0000000000000000E+000
  0.1166666900036208E-002  0.2894033257301744E-002  0.0000000000000000E+000  0.1447043643597561E-002  0.0000000000000000E+000
  0.1250000250038794E-002  0.3100735905822467E-002  0.0000000000000000E+000  0.1550401182081045E-002  0.0000000000000000E+000
  0.1333333600041381E-002  0.3307435655924596E-002  0.0000000000000000E+000  0.1653758157766983E-002  0.0000000000000000E+000
  0.1500000300046553E-002  0.3720825687721853E-002  0.0000000000000000E+000  0.1860470269403181E-002  0.0000000000000000E+000
  0.1666667000051726E-002  0.4134201805553921E-002  0.0000000000000000E+000  0.2067179675551321E-002  0.0000000000000000E+000
  0.1833333700056899E-002  0.4547562461281667E-002  0.0000000000000000E+000  0.2273886072881570E-002  0.0000000000000000E+000
  0.2000000400062071E-002  0.4960906106074705E-002  0.0000000000000000E+000  0.2480589157760121E-002  0.0000000000000000E+000
  0.2250000450069830E-002  0.5580886290693268E-002  0.0000000000000000E+000  0.2790636920271461E-002  0.0000000000000000E+000
  0.2500000500077589E-002  0.6200819497514398E-002  0.0000000000000000E+000  0.3100675549376167E-002  0.0000000000000000E+000
  0.2750000550085349E-002  0.6820700508490851E-002  0.0000000000000000E+000  0.3410704030670021E-002  0.0000000000000000E+000
  0.3000000600093107E-002  0.7440524105007868E-002  0.0000000000000000E+000  0.3720721349641799E-002  0.0000000000000000E+000
  0.3333334000103452E-002  0.8266857234595727E-002  0.0000000000000000E+000  0.4134058655522412E-002  0.0000000000000000E+000
  0.3666667400113797E-002  0.9093066641509847E-002  0.0000000000000000E+000  0.4547371903890153E-002  0.0000000000000000E+000
  0.4000000800124142E-002  0.9919139951140755E-002  0.0000000000000000E+000  0.4960658688282410E-002  0.0000000000000000E+000
  0.4500000900139660E-002  0.1115796766159444E-001  0.0000000000000000E+000  0.5580533979683409E-002  0.0000000000000000E+000
  0.5000001000155178E-002  0.1239641953755185E-001  0.0000000000000000E+000  0.6200336187116233E-002  0.0000000000000000E+000
  0.5500001100170696E-002  0.1363445380315967E-001  0.0000000000000000E+000  0.6820057184220644E-002  0.0000000000000000E+000
  0.6000001200186214E-002  0.1487202867817605E-001  0.0000000000000000E+000  0.7439688843987116E-002  0.0000000000000000E+000
  0.6500001300201732E-002  0.1610910237584997E-001  0.0000000000000000E+000  0.8059223035729490E-002  0.0000000000000000E+000
  0.7000001400217250E-002  0.1734563310419605E-001  0.0000000000000000E+000  0.8678651629278925E-002  0.0000000000000000E+000
  0.7500001500232768E-002  0.1858157906385853E-001  0.0000000000000000E+000  0.9297966489404882E-002  0.0000000000000000E+000
  0.8000001600248286E-002  0.1981689844915843E-001  0.0000000000000000E+000  0.9917159481597224E-002  0.0000000000000000E+000
  0.9000001800279323E-002  0.2228549023239963E-001  0.0000000000000000E+000  0.1115514729866335E-001  0.0000000000000000E+000
  0.1000000200031036E-001  0.2475107384336661E-001  0.0000000000000000E+000  0.1239254993678448E-001  0.0000000000000000E+000
  0.1100000220034139E-001  0.2721331452752372E-001  0.0000000000000000E+000  0.1362930220726186E-001  0.0000000000000000E+000
  0.1200000240037243E-001  0.2967187737110952E-001  0.0000000000000000E+000  0.1486533886813280E-001  0.0000000000000000E+000
  0.1300000260040346E-001  0.3212642728232054E-001  0.0000000000000000E+000  0.1610059460637477E-001  0.0000000000000000E+000
  0.1400000280043450E-001  0.3457662897582689E-001  0.0000000000000000E+000  0.1733500405212741E-001  0.0000000000000000E+000
  0.1500000300046553E-001  0.3702214695951685E-001  0.0000000000000000E+000  0.1856850176552275E-001  0.0000000000000000E+000
  0.1600000320049657E-001  0.3946264551852380E-001  0.0000000000000000E+000  0.1980102222796917E-001  0.0000000000000000E+000
  0.1700000340052760E-001  0.4189778870063917E-001  0.0000000000000000E+000  0.2103249984530603E-001  0.0000000000000000E+000
  0.1800000360055864E-001  0.4432724029909940E-001  0.0000000000000000E+000  0.2226286891823989E-001  0.0000000000000000E+000
  0.1900000380058968E-001  0.4675066383762870E-001  0.0000000000000000E+000  0.2349206366814690E-001  0.0000000000000000E+000
  0.2000000400062071E-001  0.4916772256097321E-001  0.0000000000000000E+000  0.2472001823715507E-001  0.0000000000000000E+000
  0.2100000420065175E-001  0.5157807942126556E-001  0.0000000000000000E+000  0.2594666665806910E-001  0.0000000000000000E+000
  0.2200000440068279E-001  0.5398139705983031E-001  0.0000000000000000E+000  0.2717194283865094E-001  0.0000000000000000E+000
  0.2300000460071382E-001  0.5637733779272481E-001  0.0000000000000000E+000  0.2839578058407354E-001  0.0000000000000000E+000
  0.2400000480074486E-001  0.5876556359875963E-001  0.0000000000000000E+000  0.2961811358147018E-001  0.0000000000000000E+000
  0.2500000500077590E-001  0.6114573610642503E-001  0.0000000000000000E+000  0.3083887539672061E-001  0.0000000000000000E+000
