                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        6                        2  0.6509451978296180E+001  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9999989778475690E-003  0.1518829247139976E-013  0.0000000000000000E+000  0.2531380022249879E-014  0.0000000000000000E+000
  0.1017856102451990E-002  0.1659369225068966E-013  0.0000000000000000E+000  0.2765613738814257E-014  0.0000000000000000E+000
  0.1035713227056411E-002  0.1810125422626389E-013  0.0000000000000000E+000  0.3016874444990845E-014  0.0000000000000000E+000
  0.1053570351660832E-002  0.1971644963112601E-013  0.0000000000000000E+000  0.3286074021900313E-014  0.0000000000000000E+000
  0.1071427476265253E-002  0.2144494164725244E-013  0.0000000000000000E+000  0.3574156340777065E-014  0.0000000000000000E+000
  0.1089284600869673E-002  0.2329258871406550E-013  0.0000000000000000E+000  0.3882097814652861E-014  0.0000000000000000E+000
  0.1107141725474094E-002  0.2526544783707770E-013  0.0000000000000000E+000  0.4210907950015346E-014  0.0000000000000000E+000
  0.1124998850078515E-002  0.2736977789666853E-013  0.0000000000000000E+000  0.4561629898446508E-014  0.0000000000000000E+000
  0.1142855974682936E-002  0.2961204295696925E-013  0.0000000000000000E+000  0.4935341008245737E-014  0.0000000000000000E+000
  0.1160713099287357E-002  0.3199891557483001E-013  0.0000000000000000E+000  0.5333153376040160E-014  0.0000000000000000E+000
  0.1178570223891778E-002  0.3453728010885360E-013  0.0000000000000000E+000  0.5756214398384992E-014  0.0000000000000000E+000
  0.1196427348496199E-002  0.3723423602847978E-013  0.0000000000000000E+000  0.6205707323355454E-014  0.0000000000000000E+000
  0.1214284473100619E-002  0.4009710122311480E-013  0.0000000000000000E+000  0.6682851802132790E-014  0.0000000000000000E+000
  0.1232141597705040E-002  0.4313341531128991E-013  0.0000000000000000E+000  0.7188904440584154E-014  0.0000000000000000E+000
  0.1249998722309461E-002  0.4635094294984850E-013  0.0000000000000000E+000  0.7725159350838630E-014  0.0000000000000000E+000
  0.1267855846913882E-002  0.4975767714315224E-013  0.0000000000000000E+000  0.8292948702859249E-014  0.0000000000000000E+000
  0.1285712971518303E-002  0.5336184255230503E-013  0.0000000000000000E+000  0.8893643276012330E-014  0.0000000000000000E+000
  0.1303570096122724E-002  0.5717189880438966E-013  0.0000000000000000E+000  0.9528653010634198E-014  0.0000000000000000E+000
  0.1321427220727145E-002  0.6119654380171157E-013  0.0000000000000000E+000  0.1019942755959537E-013  0.0000000000000000E+000
  0.1339284345331566E-002  0.6544471703105461E-013  0.0000000000000000E+000  0.1090745683986366E-013  0.0000000000000000E+000
  0.1357141469935986E-002  0.6992560287293907E-013  0.0000000000000000E+000  0.1165427158406508E-013  0.0000000000000000E+000
  0.1374998594540407E-002  0.7464863391088729E-013  0.0000000000000000E+000  0.1244144389204401E-013  0.0000000000000000E+000
  0.1392855719144828E-002  0.7962349424068624E-013  0.0000000000000000E+000  0.1327058778242127E-013  0.0000000000000000E+000
  0.1410712843749249E-002  0.8486012277966085E-013  0.0000000000000000E+000  0.1414335974415235E-013  0.0000000000000000E+000
  0.1428569968353670E-002  0.9036871657594092E-013  0.0000000000000000E+000  0.1506145928808384E-013  0.0000000000000000E+000
  0.1446427092958091E-002  0.9615973411773158E-013  0.0000000000000000E+000  0.1602662949850924E-013  0.0000000000000000E+000
  0.1464284217562512E-002  0.1022438986425832E-012  0.0000000000000000E+000  0.1704065758472407E-013  0.0000000000000000E+000
  0.1499998466771354E-002  0.1153359052022773E-012  0.0000000000000000E+000  0.1922266015485734E-013  0.0000000000000000E+000
  0.1535712715980195E-002  0.1297359428858825E-012  0.0000000000000000E+000  0.2162266813318190E-013  0.0000000000000000E+000
  0.1571426965189037E-002  0.1455396661156994E-012  0.0000000000000000E+000  0.2425662395258495E-013  0.0000000000000000E+000
  0.1607141214397879E-002  0.1628472829930137E-012  0.0000000000000000E+000  0.2714122899506660E-013  0.0000000000000000E+000
  0.1642855463606721E-002  0.1817636611943273E-012  0.0000000000000000E+000  0.3029396124136328E-013  0.0000000000000000E+000
  0.1678569712815562E-002  0.2023984338674211E-012  0.0000000000000000E+000  0.3373309292054059E-013  0.0000000000000000E+000
  0.1714283962024404E-002  0.2248661055272383E-012  0.0000000000000000E+000  0.3747770815955774E-013  0.0000000000000000E+000
  0.1749998211233246E-002  0.2492861579515632E-012  0.0000000000000000E+000  0.4154772063280129E-013  0.0000000000000000E+000
  0.1785712460442087E-002  0.2757831560764861E-012  0.0000000000000000E+000  0.4596389121158952E-013  0.0000000000000000E+000
  0.1821426709650929E-002  0.3044868538916664E-012  0.0000000000000000E+000  0.5074784561364969E-013  0.0000000000000000E+000
  0.1857140958859771E-002  0.3355323003353569E-012  0.0000000000000000E+000  0.5592209205256463E-013  0.0000000000000000E+000
  0.1892855208068613E-002  0.3690599451892081E-012  0.0000000000000000E+000  0.6151003888719118E-013  0.0000000000000000E+000
  0.1928569457277455E-002  0.4052157449728259E-012  0.0000000000000000E+000  0.6753601227104778E-013  0.0000000000000000E+000
  0.1964283706486296E-002  0.4441512688380921E-012  0.0000000000000000E+000  0.7402527380167329E-013  0.0000000000000000E+000
